Cod'x1'x2'x3'x4'x5'x6'x7'x8'x9'10
CZ04'11.1'15.'11.7'58.5'5'41.1'5.3'1.1'16.6'15.6
CZ05'5.6'9.6'6.1'57.6'8.9'53.2'3.2'1.3'20.2'22.9
CZ06'4.0'8.8'4.5'58.3'10.1'54.6'6.1'0.9'22.3'27.2
CZ07'5.3'8.7'6.2'58.1'7.9'45.3'4.8'1.9'20'24
CZ08'7.4'13.'7.4'59'11.6'43.3'7'1.1'20'22.4
EL30'10.1'9.3'3.9'60.8'4.4'18.2'2.7'7.5'21'45.6
EL43'27.0'14.4'6.6'58.5'4.4'51.5'3.5'9.1'12.7'28.9
EL52'19.5'14.8'1.3'58.5'2.2'40.1'1.8'13.5'13.4'33.1
EL63'31.4'24.2'6.9'57.6'4.6'37.6'4.2'16.9'11.4'25.4
ES11'36.0'11.8'9.9'58.3'17.7'26'4.1'4.4'16.1'42.2
ES21'23.4'11.'6.1'58.8'19.7'22.8'6.5'4.1'21.3'55
ES22'28.3'9.9'5.2'59.4'20.7'40.5'5'4.1'20.2'48.3
ES24'33.6'11.'12.5'59.5'17.6'40.8'9.8'2.3'17.9'42.5
ES30'24.4'11.6'11.2'62'18.1'33.4'5.4'5'24.2'49.8
ES41'35.5'11.3'10.7'58'17.8'52.2'5.7'5'15.7'39.8
ES42'46.3'13.9'16.2'61'15'46.8'5.9'7.5'13.7'31.4
ES43'48.9'14.3'10.6'60.5'17.5'44.1'3.9'5.6'13.2'31.8
ES51'34.1'14.8'17.5'60.8'14.6'29.5'10.8'4.1'19.8'43.6
ES52'41.1'13.9'16.'60.8'19.3'29.4'6.3'4.7'16'37.2
ES53'38.7'12.9'17.3'64.1'15.4'36.6'7.8'4'16.4'33.8
ES61'43.9'14.6'15.5'61.6'15.7'44.9'4.6'7.3'14.3'35
ES62'47.6'13.7'18.4'61.5'15.8'41.8'7'4.3'13.5'30.9
FR10'16.6'11.8'6.1'59.3'16.2'48.5'7.9'2.1'32.1'55
FRD2'17.4'17.5'7.9'54.8'14.4'66.2'16.6'3.9'21.4'35.4
FRE1'19.8'16.1'10.'55.9'12.7'71.3'13.7'1.9'20.3'34.6
FRE2'21.3'16.2'12.1'55.2'11.6'70.2'16'5.4'20'31.8
FRI1'13.1'13.8'6.'55'19.4'36.2'19'1.5'23.3'41.2
FRJ1'19.1'15.1'9.1'53.6'12.7'33.3'15.8'3.2'21.5'37.6
FRK2'12.6'11.6'7.2'56'17.5'37.2'16.4'0.9'27.3'46.8
FRL0'17.5'16.5'6.9'54.4'14.7'20.2'12'2.9'22.8'41.9
HR02'17.8'19.5'3.'57.9'3.8'36.7'8.8'5.6'11.7'17.4
HR03'9.0'17.'1.3'57.4'5.2'13.3'7.8'3.4'15.3'25.1
HR06'15.9'10.1'3.1'59.1'3.5'39.3'8.6'2.1'15.5'20.1
CY00'14.8'18.2'8.2'62.4'10.4'36.6'6.5'3.1'23.1'48
LT02'6.8'13.7'6.1'60.2'9.5'53.2'5.5'2.1'20.3'39.7
HU31'20.3'22.2'23.7'59'8.8'51.9'6.7'3'15.5'20
HU32'19.0'19.7'16.9'59.8'9.3'69.7'5.5'3.4'15.6'20.8
MT00'34.5'7.4'10.3'63.9'13.7'39.6'22.1'2'23.1'31.8
AT13'16.3'14.3'12.2'64.2'23.1'19.3'20.2'2.1'29.1'45.6
PT11'47.2'8.'5.4'59.7'12'29.8'7.1'3.2'19.7'25.8
